ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
49267,49267,1554,3957,1657,1636,54,2951,3132,3925,3957,3957,0
49268,49268,391,963,394,393,5,662,770,940,963,963,0
49269,49269,2360,6363,2648,2433,209,4273,4781,6365,6397,6397,0
49270,49270,2074,5533,2351,2320,63,3785,4401,5577,5615,5615,0
49271,49271,778,1925,861,752,23,1363,1525,1913,1928,1928,0
49272,49272,946,2103,1006,901,18,1652,1776,2108,2124,2124,0
49274,49274,1317,3539,1455,1366,73,2380,2644,3522,3572,3572,0
49276,49276,383,932,401,368,6,664,707,936,947,947,0
49277,49277,1299,3103,1317,1227,49,2215,2469,3041,3103,3103,0
49279,49279,278,770,270,285,3,499,532,766,770,770,0
49282,49282,202,373,183,155,0,311,338,373,373,373,0
49283,49283,1251,3288,1690,2127,73,2327,3686,4412,4450,4450,0
49284,49284,1127,2956,1292,1126,52,2134,2279,2936,2956,2956,0
49285,49285,2147,5739,2378,2415,133,4106,4570,5774,5797,5797,0
49286,49286,6017,14519,5668,6315,146,10339,11305,14421,14622,14622,0
49287,49287,699,1879,779,792,42,1321,1482,1879,1879,1879,0
49288,49288,520,1511,621,583,23,998,1122,1470,1520,1520,0
49289,49289,75,173,59,70,0,106,129,173,173,173,0
49301,49301,6615,20065,7684,7836,124,13032,14200,19978,20101,20101,0
49302,49302,2758,8278,3159,3073,106,5187,5775,8268,8356,8356,0
49303,49303,383,1114,396,421,15,675,758,1114,1114,1114,0
49304,49304,1561,3616,1820,1737,58,3166,3438,3945,3961,3961,0
49305,49305,861,2113,948,889,50,1604,1747,2120,2125,2125,0
49306,49306,3684,10052,4085,4163,79,7042,7839,9997,10083,10083,0
49307,49307,6749,17782,9019,8947,146,10298,17258,20611,20737,20737,0
49309,49309,694,1581,737,640,60,1198,1327,1585,1588,1588,0
49310,49310,1107,3570,1465,1348,90,2016,2584,3514,3570,3570,0
49312,49312,132,289,126,136,2,255,262,289,289,289,0
49315,49315,7810,21970,8390,8783,472,14650,16256,21675,21996,21996,0
49316,49316,7726,21878,8286,8601,407,14456,15960,21672,21940,21940,0
49318,49318,498,1369,685,525,29,1036,1159,1465,1485,1485,0
49319,49319,5935,16390,6700,6229,196,10849,11884,16337,16507,16507,0
49320,49320,35,79,36,28,0,50,50,79,79,79,0
49321,49321,6513,16801,6712,6711,315,11319,12713,16647,16875,16875,0
49322,49322,545,1602,629,650,67,1077,1240,1592,1635,1635,0
49323,49323,3266,9848,3749,3637,97,6130,7107,9675,9853,9853,0
49325,49325,585,1810,704,625,39,1104,1230,1780,1810,1810,0
49326,49326,1617,3985,1834,1496,83,3074,3184,4009,4032,4032,0
49327,49327,3040,8425,3266,3421,187,5617,6243,8430,8518,8518,0
49328,49328,1379,3970,1591,1448,124,2550,2899,3938,3970,3970,0
49329,49329,2981,8579,3421,3448,225,5762,6450,8597,8651,8651,0
49330,49330,1812,5342,2026,2173,115,3468,3985,5313,5384,5384,0
49331,49331,6328,17281,6753,7449,78,11894,13330,17227,17454,17454,0
49332,49332,1273,3156,1251,1455,33,2370,2600,3118,3165,3165,0
49333,49333,3925,10907,4240,4141,149,7080,7956,10703,10917,10917,0
49335,49335,166,500,229,162,0,342,378,500,500,500,0
49336,49336,1563,4448,1721,1848,46,3014,3292,4399,4465,4465,0
49337,49337,4822,11422,4884,4738,330,8238,9161,11363,11442,11442,0
49338,49338,651,1587,841,583,14,1228,1400,1576,1587,1587,0
49339,49339,850,2159,856,890,44,1472,1679,2123,2159,2159,0
49340,49340,1093,2932,1221,1167,46,2031,2292,2909,2963,2963,0
49341,49341,12253,35468,13258,13755,393,22733,24886,34993,35546,35546,0
49342,49342,746,2031,771,823,41,1392,1505,2015,2043,2043,0
49343,49343,2137,6037,2171,2326,151,3851,4252,5939,6079,6079,0
49344,49344,1418,3646,1560,1474,48,2624,2891,3577,3662,3662,0
49345,49345,4930,13380,5224,5595,270,9149,10230,13354,13505,13505,0
49346,49346,2226,5228,2288,2164,47,4048,4331,5190,5228,5228,0
49347,49347,505,1343,557,506,21,903,1015,1320,1343,1343,0
49348,49348,4321,12036,4892,4625,135,7936,8931,11975,12130,12130,0
49349,49349,3053,7824,3418,3214,208,5676,6344,8000,8098,8098,0
49401,49401,5936,17966,8881,10357,220,7223,18475,22124,22253,22253,0
49402,49402,547,1223,565,488,28,973,1017,1232,1236,1236,0
49403,49403,903,2402,1021,999,56,1676,1949,2403,2424,2424,0
49404,49404,3115,8925,3454,3635,55,5654,6580,8990,9079,9079,0
49405,49405,597,1380,670,565,17,1089,1182,1394,1408,1408,0
49406,49406,409,864,353,379,4,661,705,860,869,869,0
49408,49408,3712,9267,3783,3781,135,6521,7112,9207,9337,9337,0
49410,49410,851,1954,778,771,39,1339,1465,1905,1954,1954,0
49411,49411,636,1526,659,627,37,1167,1243,1522,1536,1536,0
49412,49412,4197,10760,4333,4680,378,7586,8475,10969,11074,11074,0
49415,49415,2582,6832,2744,2917,56,4934,5356,6803,6870,6870,0
49417,49417,12036,30352,12465,12723,430,21228,23958,30429,30714,30714,0
49418,49418,10517,27674,10698,11673,492,18687,21165,27706,27986,27986,0
49419,49419,2623,8117,3069,3030,37,5097,5577,8040,8125,8125,0
49420,49420,2311,6110,2627,2610,61,4149,4924,6505,6592,6592,0
49421,49421,2291,5873,2418,2348,234,4050,4546,5875,5933,5933,0
49423,49423,16422,42360,17528,19340,1004,27548,35062,44966,45559,45559,0
49424,49424,17325,46958,17940,19281,1026,30690,34804,46437,47218,47218,0
49425,49425,1204,3693,1398,1363,114,2369,2621,3637,3737,3737,0
49426,49426,11444,34636,13024,13039,541,21019,24428,34201,34783,34783,0
49428,49428,9945,27247,10317,10945,300,17501,20261,27008,27298,27298,0
49431,49431,7444,16830,6776,7541,248,12282,13702,17010,17175,17175,0
49434,49434,14,14,5,9,0,14,14,14,14,14,0
49435,49435,1319,4118,1607,1640,22,2661,2989,4102,4172,4172,0
49436,49436,679,1569,701,645,19,1231,1296,1571,1574,1574,0
49437,49437,2675,6906,2658,2928,168,4719,5208,6850,6934,6934,0
49440,49440,528,805,325,389,0,589,701,801,807,807,0
49441,49441,15550,35659,13903,15955,533,25665,28583,35692,36012,36012,0
49442,49442,14845,39656,15328,17284,1173,25398,30670,41029,41550,41550,0
49444,49444,9966,25514,12995,10481,820,19841,22447,28949,29178,29178,0
49445,49445,7833,19950,8443,8014,318,14244,15581,19920,20047,20047,0
49446,49446,913,2396,1005,1037,36,1689,1920,2496,2507,2507,0
49448,49448,1307,3753,1408,1297,18,2208,2568,3750,3795,3795,0
49449,49449,1151,2390,1022,1110,37,1946,2071,2403,2404,2404,0
49450,49450,1100,3585,1235,1349,122,2136,2363,3576,3609,3609,0
49451,49451,2156,6096,2382,2361,198,4078,4494,6081,6144,6144,0
49452,49452,743,2002,832,753,57,1359,1547,1998,2026,2026,0
49453,49453,1173,2651,1004,1197,19,2025,2117,2628,2651,2651,0
49454,49454,1784,4773,2019,1880,75,3257,3631,4825,4882,4882,0
49455,49455,1836,4658,1885,1866,102,3218,3512,4589,4662,4662,0
49456,49456,7788,18794,7389,8126,220,13430,14741,18953,19041,19041,0
49457,49457,3801,10585,4230,4130,237,7180,7845,10516,10619,10619,0
49458,49458,29,54,25,27,6,52,52,54,54,54,0
49459,49459,465,1226,469,465,24,831,897,1199,1226,1226,0
49460,49460,2790,7732,3557,2910,95,5536,6121,8097,8161,8161,0
49461,49461,3491,9194,3605,3959,226,6324,7038,9323,9418,9418,0
49464,49464,9838,28752,10869,11114,408,17907,20501,28549,28961,28961,0
49503,49503,14872,34265,14189,14739,364,22264,27887,34960,35484,35484,0
49504,49504,15384,38192,15883,15762,658,24718,30283,38373,38877,38877,0
49505,49505,13034,30676,12782,12868,463,22302,24753,31084,31720,31720,0
49506,49506,12005,32591,12541,14255,442,21150,25125,33308,33741,33741,0
49507,49507,12105,37983,12949,14127,1140,21501,25463,37571,38390,38390,0
49508,49508,15228,40625,15599,17241,681,26799,31052,40572,41139,41139,0
49509,49509,9899,26278,10091,10751,592,17107,19624,25998,26495,26495,0
49512,49512,7373,16455,6569,7489,198,10982,13358,16836,17117,17117,0
49519,49519,11712,28940,11535,11482,373,19176,22258,28571,29051,29051,0
49525,49525,11149,28595,10971,12659,383,19759,22356,29133,29326,29326,0
49534,49534,8592,21295,8521,8738,267,13913,16405,21099,21349,21349,0
49544,49544,3910,9316,3845,4207,94,6514,7710,9486,9586,9586,0
49546,49546,12310,30860,12892,14488,328,21569,26131,32902,33178,33178,0
49548,49548,11549,31671,12306,12422,815,20534,23317,31452,31938,31938,0
