ZCTA5,ZIP,households_by_type-total_households,relationship-population_in_households,marital_status-population_males_15_years_and_over,marital_status-population_females_15_years_and_over,grandparents-population-grandparents_living_with_own_grandchildren_under_18_years,educational_attainment-population-population_25_years_and_over,veteran_status-population-civilian_population_18_years_and_over,residence_1_year_ago-population-population_1_year_and_over,place_of_birth-population-total_population,ancestry-population-total_population,computers_and_internet_use-households-total_households
,,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
95427,95427,142,203,108,95,0,203,203,203,203,203,0
95428,95428,929,2525,1024,830,77,1657,1775,2490,2540,2540,0
95429,95429,28,58,33,25,0,58,58,58,58,58,0
95430,95430,0,0,0,0,0,0,0,0,0,0,0
95431,95431,0,0,316,114,0,313,430,430,430,430,0
95432,95432,226,445,219,176,0,395,395,445,445,445,0
95435,95435,69,166,69,97,0,130,130,166,166,166,0
95436,95436,2613,5889,2738,2497,107,4717,5024,5919,5965,5965,0
95437,95437,5908,14112,6135,6132,429,10940,11696,14452,14578,14578,0
95439,95439,282,806,404,275,5,635,663,810,825,825,0
95441,95441,642,1793,928,719,33,1410,1622,1879,1909,1909,0
95442,95442,1494,3062,1285,1386,31,2453,2582,3010,3080,3080,0
95443,95443,148,312,148,80,0,228,228,312,312,312,0
95444,95444,225,653,268,289,18,488,499,639,653,653,0
95445,95445,933,1774,905,822,21,1636,1702,1792,1792,1792,0
95446,95446,2306,4529,2200,1897,70,3720,4051,4471,4529,4529,0
95448,95448,7005,17101,7487,7566,208,12946,14615,17313,17481,17481,0
95449,95449,545,1629,777,571,100,1164,1331,1637,1679,1679,0
95450,95450,156,283,152,110,5,260,261,283,283,283,0
95451,95451,4692,12192,4858,5456,177,9031,9862,12134,12230,12230,0
95452,95452,580,1409,648,570,17,1005,1142,1398,1409,1409,0
95453,95453,4470,9928,4228,4623,190,7797,8449,10286,10362,10362,0
95454,95454,988,2020,800,933,72,1585,1669,2020,2029,2029,0
95456,95456,399,715,306,398,0,678,698,709,721,721,0
95457,95457,1309,2964,1385,1258,155,2423,2623,3076,3076,3076,0
95458,95458,1268,3176,1192,1296,62,2106,2302,3176,3176,3176,0
95459,95459,270,682,263,253,19,461,497,680,682,682,0
95460,95460,1229,2266,1057,1021,74,1978,2056,2284,2301,2301,0
95461,95461,1148,2827,1305,1321,0,2295,2521,2954,2954,2954,0
95462,95462,578,1164,546,525,12,967,1021,1164,1164,1164,0
95463,95463,49,49,14,35,0,49,49,49,49,49,0
95464,95464,1098,2387,1080,1036,71,1732,1995,2360,2412,2412,0
95465,95465,1033,2140,949,955,0,1740,1837,2140,2140,2140,0
95466,95466,367,972,439,328,0,684,722,984,990,990,0
95467,95467,1995,5618,2134,2263,269,3897,4243,5540,5618,5618,0
95468,95468,617,1381,564,559,29,1008,1059,1370,1381,1381,0
95469,95469,730,1925,736,777,47,1350,1430,1969,1979,1979,0
95470,95470,2202,6421,2702,2684,246,4228,5050,6504,6514,6514,0
95471,95471,281,599,210,201,0,378,411,599,599,599,0
95472,95472,12774,29907,13037,13625,202,23899,25622,30078,30260,30260,0
95476,95476,15376,37109,15394,15999,474,27865,30281,37231,37534,37534,0
95482,95482,11659,30858,12310,13131,1092,21272,23968,31480,31941,31941,0
95485,95485,1092,2577,1196,1043,65,1831,2132,2573,2607,2607,0
95486,95486,26,41,27,14,0,27,41,41,41,41,0
95488,95488,125,239,89,107,0,196,196,239,239,239,0
95490,95490,5464,12968,5126,5539,345,8964,10189,12992,13054,13054,0
95492,95492,9984,29390,12098,11822,662,19710,22419,29204,29515,29515,0
95493,95493,150,321,131,190,0,256,321,321,321,321,0
95494,95494,78,170,57,101,0,149,149,209,209,209,0
95497,95497,610,1092,430,630,14,1049,1049,1092,1092,1092,0
95501,95501,9592,22021,9888,9905,316,16355,19046,23099,23284,23284,0
95503,95503,9967,25294,10308,11038,465,17640,20237,25529,25830,25830,0
95511,95511,136,331,205,88,0,293,293,331,331,331,0
95514,95514,94,254,94,95,0,189,189,254,254,254,0
95519,95519,7196,19397,7759,7506,476,13237,14561,19119,19441,19441,0
95521,95521,8353,19081,8980,9833,217,11103,18213,20623,20911,20911,0
95524,95524,798,1933,990,679,13,1336,1644,1944,1944,1944,0
95525,95525,650,1569,764,596,19,1142,1340,1554,1569,1569,0
95526,95526,127,197,117,80,6,181,194,197,197,197,0
95527,95527,237,586,300,262,5,491,552,586,586,586,0
95528,95528,461,1191,470,448,32,856,900,1179,1191,1191,0
95531,95531,7912,20122,11073,8450,582,16585,18677,23164,23500,23500,0
95536,95536,1185,3140,1276,1291,81,2236,2464,3114,3140,3140,0
95537,95537,124,255,127,110,45,201,237,255,255,255,0
95540,95540,5075,13266,5236,5676,228,9120,10304,13310,13418,13418,0
95542,95542,942,1983,899,851,23,1481,1692,2008,2008,2008,0
95543,95543,358,769,285,400,24,540,607,792,792,792,0
95545,95545,38,76,43,25,0,58,68,76,76,76,0
95546,95546,1158,3231,1150,1362,273,1893,2383,3226,3260,3260,0
95547,95547,458,1158,474,489,30,824,920,1150,1158,1158,0
95548,95548,414,1166,639,459,48,994,1057,1284,1288,1288,0
95549,95549,373,942,407,401,0,705,780,942,942,942,0
95550,95550,68,164,82,66,0,89,127,164,164,164,0
95551,95551,622,1453,587,629,15,1101,1198,1439,1453,1453,0
95552,95552,284,635,275,255,13,497,518,635,635,635,0
95553,95553,561,1261,474,579,0,891,1053,1274,1274,1274,0
95554,95554,163,336,142,143,0,271,271,336,336,336,0
95555,95555,173,338,163,161,0,296,310,338,338,338,0
95556,95556,268,643,262,210,29,458,463,631,643,643,0
95558,95558,235,458,242,176,7,398,411,446,458,458,0
95559,95559,89,108,33,75,0,97,108,108,108,108,0
95560,95560,546,1249,658,546,0,1106,1187,1265,1351,1351,0
95562,95562,1435,3408,1481,1342,90,2523,2712,3332,3437,3437,0
95563,95563,327,684,239,386,0,597,618,705,705,705,0
95564,95564,147,389,209,165,2,268,346,396,402,402,0
95565,95565,339,934,345,346,41,560,672,934,934,934,0
95567,95567,759,2048,723,770,96,1275,1417,2013,2048,2048,0
95568,95568,50,98,90,55,0,139,144,161,161,161,0
95569,95569,140,233,221,119,0,294,340,340,340,340,0
95570,95570,965,2064,915,902,13,1659,1789,2063,2079,2079,0
95571,95571,84,228,107,103,0,132,173,228,228,228,0
95573,95573,733,1523,720,506,0,1106,1216,1523,1523,1523,0
95585,95585,258,515,285,183,5,421,468,528,537,537,0
95587,95587,85,146,61,85,0,146,146,146,146,146,0
95589,95589,432,948,476,390,4,862,862,966,966,966,0
95595,95595,60,156,86,41,0,116,121,156,156,156,0
95601,95601,93,178,75,79,0,139,149,178,178,178,0
95602,95602,7061,18144,7737,7953,285,13783,14992,18321,18472,18472,0
95603,95603,11733,27504,12246,12696,478,21611,24134,28432,28826,28826,0
95604,95604,58,104,46,58,0,104,104,104,104,104,0
95605,95605,4850,14369,5932,5655,502,9078,11057,14354,14595,14595,0
95606,95606,52,129,72,57,0,129,129,129,129,129,0
95607,95607,259,499,273,206,0,479,479,499,499,499,0
95608,95608,25040,58691,23236,27244,724,43849,48309,59595,60199,60199,0
95610,95610,17641,44250,17849,19424,644,31332,35810,44203,44711,44711,0
95612,95612,379,964,393,366,0,673,727,964,964,964,0
95614,95614,1515,4318,1658,1711,20,2987,3277,4318,4318,4318,0
95615,95615,287,799,480,390,0,713,821,970,970,970,0
95616,95616,17181,42687,20782,23942,72,21688,43636,48890,49093,49093,0
95618,95618,9834,27726,11434,11755,287,15412,21850,27738,27926,27926,0
95619,95619,1922,5057,2324,2079,18,3832,4222,5005,5075,5075,0
95620,95620,6540,21635,8065,8239,502,13365,15316,21490,21685,21685,0
95621,95621,16254,41728,15969,18318,962,29173,32927,41411,41908,41908,0
95623,95623,1465,3911,1640,1645,98,2756,3128,3899,3911,3911,0
95624,95624,19443,63852,24764,25828,2562,41228,46718,63589,64429,64429,0
95625,95625,45,54,26,28,0,54,54,54,54,54,0
95626,95626,1970,5862,2392,2451,263,4137,4529,5805,5871,5871,0
95627,95627,1190,3873,1355,1491,94,2229,2730,3773,3873,3873,0
95628,95628,16355,40890,16998,17843,575,30411,33329,41211,41649,41649,0
95629,95629,301,676,305,325,0,593,630,676,676,676,0
95630,95630,26246,68698,31917,27672,1005,51831,56485,73940,74905,74905,0
95631,95631,2503,6375,2557,2653,41,4716,5100,6360,6375,6375,0
95632,95632,9323,30172,11319,12108,1102,18863,22001,30158,30594,30594,0
95633,95633,1210,3585,1537,1554,112,2676,3029,3592,3610,3610,0
95634,95634,1151,3094,1423,1177,66,2339,2459,3183,3206,3206,0
95635,95635,401,788,442,402,0,788,844,861,861,861,0
95636,95636,327,846,293,363,15,585,656,846,846,846,0
95637,95637,123,349,140,132,0,215,251,349,349,349,0
95638,95638,743,2186,960,908,63,1564,1734,2228,2238,2238,0
95639,95639,82,333,103,183,41,243,277,333,333,333,0
95640,95640,2735,6849,6514,2670,171,7984,8913,10413,10509,10509,0
95641,95641,839,1843,782,806,10,1433,1546,1820,1843,1843,0
95642,95642,3067,6690,2585,3318,57,5175,5654,6832,6912,6912,0
95645,95645,724,2091,804,711,61,1264,1421,2074,2091,2091,0
95646,95646,12,27,57,7,0,55,64,64,64,64,0
95648,95648,18770,50182,19313,21194,1028,36026,38590,49742,50341,50341,0
95650,95650,4769,13106,5605,5566,203,9460,10548,12988,13157,13157,0
95651,95651,243,562,259,263,0,507,522,614,614,614,0
95652,95652,193,543,331,377,0,567,690,966,966,966,0
95653,95653,182,654,303,242,9,440,508,657,657,657,0
95655,95655,1345,4199,1539,1603,123,2654,2949,4137,4205,4205,0
95658,95658,2595,6676,2883,2732,61,4941,5324,6682,6709,6709,0
95659,95659,353,782,361,334,15,606,664,785,788,788,0
95660,95660,10685,34158,12197,13600,923,20768,24343,33866,34303,34303,0
95661,95661,11948,30452,11724,13735,590,21767,24132,30747,31034,31034,0
95662,95662,12057,32125,12819,13690,750,22672,25082,31933,32441,32441,0
95663,95663,797,2397,849,1096,99,1689,1806,2437,2443,2443,0
95664,95664,494,1357,765,443,0,922,1033,1357,1357,1357,0
95665,95665,2022,4817,2217,2156,167,3740,4212,4901,4901,4901,0
95666,95666,2403,5170,2283,2317,139,4331,4433,5106,5170,5170,0
95667,95667,14443,36020,14996,16422,895,27640,30114,36605,36859,36859,0
95668,95668,332,794,331,340,10,600,647,791,794,794,0
95669,95669,983,2480,1000,1075,98,1853,2004,2486,2493,2493,0
95670,95670,20448,53904,20989,22656,972,37101,41791,53607,54277,54277,0
95672,95672,1656,4995,1932,2428,92,3572,4051,4955,5010,5010,0
95673,95673,4827,15060,5838,6073,591,9818,11182,14981,15140,15140,0
95674,95674,289,884,349,354,22,588,665,883,891,891,0
95675,95675,182,574,222,277,108,413,499,574,574,574,0
95677,95677,8925,23502,9412,10269,446,16018,18458,23784,23906,23906,0
95678,95678,15880,41703,16110,17309,834,28147,31669,41279,41953,41953,0
95679,95679,10,20,10,10,0,20,20,20,20,20,0
95680,95680,59,278,98,57,0,82,111,278,278,278,0
95681,95681,425,1471,749,480,86,1062,1229,1462,1471,1471,0
95682,95682,11019,29927,12455,12730,207,21043,23665,29825,30033,30033,0
95683,95683,2576,6174,2730,2656,102,4768,5060,6218,6233,6233,0
95684,95684,1270,3004,1400,1335,123,2409,2728,3002,3004,3004,0
95685,95685,1900,4354,1718,2056,76,3378,3578,4336,4356,4356,0
95686,95686,357,1079,419,451,44,685,773,1070,1079,1079,0
95687,95687,21705,59814,28855,25381,1725,45481,50331,65779,66476,66476,0
95688,95688,12784,36625,15038,14413,703,24489,27562,36491,36763,36763,0
95689,95689,545,1131,546,539,45,1085,1085,1131,1131,1131,0
95690,95690,828,2289,841,942,26,1512,1713,2263,2289,2289,0
95691,95691,13059,36767,13957,14893,1081,23682,27256,36470,36932,36932,0
95692,95692,1701,5103,2080,1972,183,3280,3705,5079,5129,5129,0
95693,95693,2227,6125,2356,2743,427,4488,4922,6111,6153,6153,0
95694,95694,3450,9814,4041,3835,211,6635,7472,9645,9828,9828,0
95695,95695,14360,38447,14974,16935,817,26502,30278,38772,39144,39144,0
95697,95697,133,430,195,125,0,264,282,430,430,430,0
95698,95698,81,232,100,82,0,158,158,232,232,232,0
95699,95699,50,143,97,41,0,98,113,143,143,143,0
95701,95701,319,761,325,339,11,604,644,778,782,782,0
95703,95703,431,746,399,404,30,758,794,829,829,829,0
95709,95709,1841,5091,2199,2049,97,3650,4023,5063,5096,5096,0
95713,95713,3906,10266,4344,4303,161,7396,8175,10140,10296,10296,0
95714,95714,187,368,145,182,0,285,327,368,368,368,0
95715,95715,50,89,51,35,6,86,86,89,89,89,0
95717,95717,86,166,89,70,14,159,159,166,166,166,0
95720,95720,28,49,24,22,4,46,46,49,49,49,0
95721,95721,13,13,13,0,0,13,13,13,13,13,0
95722,95722,1914,4621,1919,2096,70,3604,3827,4592,4636,4636,0
95724,95724,0,0,0,0,0,0,0,0,0,0,0
95726,95726,3403,8787,3388,4022,244,6377,6900,8599,8816,8816,0
95728,95728,157,366,208,128,0,305,336,366,366,366,0
95735,95735,7,27,13,11,0,14,16,27,27,27,0
95736,95736,60,97,104,61,0,104,165,165,165,165,0
95742,95742,3032,10494,3932,3528,336,6516,7180,10340,10494,10494,0
95746,95746,8108,23564,9449,9629,530,15750,17365,23496,23638,23638,0
95747,95747,21220,61690,22606,26080,1344,40555,45629,61113,61869,61869,0
95757,95757,12819,44961,17015,18031,1649,28043,32440,46055,46703,46703,0
95758,95758,20877,63540,23258,26987,1979,41439,47023,63005,63778,63778,0
95762,95762,13510,40473,15676,15846,786,26792,29526,40232,40493,40493,0
95765,95765,12505,36679,13642,14897,700,23296,26200,36799,36980,36980,0
95776,95776,6997,22713,8609,8657,684,13833,16156,22940,23260,23260,0
95811,95811,3775,6244,2982,2972,88,5249,5849,6636,6711,6711,0
95814,95814,5743,8444,5987,3868,79,8595,9743,10456,10487,10487,0
95815,95815,8907,24999,9867,9865,796,16035,18824,24872,25206,25206,0
95816,95816,9859,16861,7931,7516,185,13962,15183,16898,17178,17178,0
95817,95817,5900,13631,5935,5977,271,9849,11494,13777,13918,13918,0
95818,95818,9586,20460,8055,8849,147,15131,16272,20343,20629,20629,0
95819,95819,7778,16795,7197,9038,136,13116,15697,18599,18846,18846,0
95820,95820,12492,35556,14053,14432,1191,22786,26933,35436,35869,35869,0
95821,95821,14739,35370,13149,14976,356,24315,26982,34952,35530,35530,0
95822,95822,15784,44317,16697,18788,1351,29360,33407,44122,44724,44724,0
95823,95823,23078,75732,27263,29606,3036,45434,53566,75187,76478,76478,0
95824,95824,8875,29977,11518,11581,1030,18023,21678,29737,30225,30225,0
95825,95825,15414,32729,12644,15269,555,21906,26917,32776,33385,33385,0
95826,95826,14776,36752,14603,16412,594,24519,29847,36496,36992,36992,0
95827,95827,7235,19971,8004,8770,393,13850,15724,20216,20382,20382,0
95828,95828,17681,60421,23352,24523,3011,38718,44906,60140,60884,60884,0
95829,95829,7788,26402,9706,10621,1027,16537,18957,26375,26588,26588,0
95830,95830,311,928,484,351,26,701,776,953,953,953,0
95831,95831,18250,41490,16322,19292,604,30898,34219,41553,41859,41859,0
95832,95832,2872,10982,3992,4279,639,6272,7475,11239,11313,11313,0
95833,95833,14461,39956,15282,16348,1319,25769,30101,39407,40029,40029,0
95834,95834,9747,26555,10102,10443,808,17126,19469,25972,26560,26560,0
95835,95835,13153,38832,14765,15490,1344,26388,28722,38508,38847,38847,0
95837,95837,152,340,167,147,0,273,297,340,340,340,0
95838,95838,10852,36820,13385,13971,1291,21181,25404,36742,37286,37286,0
95841,95841,7808,19679,7448,8376,521,12995,15050,19729,19890,19890,0
95842,95842,11173,32106,11736,13494,1121,20397,24113,31807,32184,32184,0
95843,95843,14144,47537,17756,18889,1339,28709,33883,47058,47666,47666,0
95864,95864,9470,23459,9336,9844,221,16816,18314,23331,23527,23527,0
95901,95901,11609,32154,12123,12818,930,20007,23251,32301,32804,32804,0
95903,95903,369,1089,708,505,0,530,439,1579,1622,1622,0
95910,95910,56,134,28,106,0,134,134,134,134,134,0
95912,95912,1426,4693,1842,1781,116,2864,3379,4624,4693,4693,0
95914,95914,297,649,288,327,16,597,611,644,649,649,0
95915,95915,9,9,9,0,0,9,9,9,9,9,0
95916,95916,443,1102,559,434,30,928,968,1094,1102,1102,0
95917,95917,1039,3313,1262,1305,80,2103,2417,3275,3313,3313,0
95918,95918,1027,2468,1150,917,24,1885,1969,2443,2468,2468,0
95919,95919,573,1184,643,408,0,940,981,1184,1184,1184,0
95920,95920,97,320,98,180,16,233,265,306,320,320,0
95922,95922,282,536,264,224,0,452,477,538,539,539,0
95923,95923,4,9,4,5,0,9,9,9,9,9,0
95925,95925,121,143,85,58,0,98,143,143,143,143,0
95926,95926,14946,36486,16449,16839,281,20616,32018,38094,38465,38465,0
95928,95928,14022,35449,15443,15727,502,21938,29848,36086,36374,36374,0
95930,95930,48,155,47,49,0,96,96,155,155,155,0
95932,95932,2736,7573,2857,2833,120,4662,5388,7613,7651,7651,0
95934,95934,164,367,210,79,0,271,271,367,367,367,0
95935,95935,270,626,256,272,16,495,509,654,654,654,0
95936,95936,109,234,109,66,0,175,175,234,234,234,0
95937,95937,465,1400,519,591,119,922,1062,1400,1400,1400,0
95938,95938,1559,4229,1579,1722,56,2891,3098,4229,4229,4229,0
95939,95939,204,459,283,241,2,427,514,576,578,578,0
95941,95941,253,586,230,250,0,480,480,586,586,586,0
95942,95942,466,782,383,361,0,744,744,782,782,782,0
95943,95943,356,886,390,330,23,590,654,875,886,886,0
95944,95944,31,41,31,10,0,41,41,41,41,41,0
95945,95945,11362,25180,10242,12081,309,19701,21401,25572,25712,25712,0
95946,95946,3888,9675,4157,4376,96,7119,7969,9677,9694,9694,0
95947,95947,753,1765,724,727,33,1340,1426,1770,1770,1770,0
95948,95948,3768,10605,3956,4396,374,6729,7971,10590,10751,10751,0
95949,95949,8085,19539,7989,8921,347,15153,16276,19420,19575,19575,0
95950,95950,136,519,167,158,0,282,325,492,519,519,0
95951,95951,805,3073,1057,1046,72,1673,1988,2995,3073,3073,0
95953,95953,3136,10322,3967,4150,419,6441,7640,10338,10476,10476,0
95954,95954,5072,12492,4847,5623,401,8951,10249,12434,12509,12509,0
95955,95955,492,1325,507,555,13,930,1015,1265,1325,1325,0
95956,95956,163,394,202,177,0,331,373,419,419,419,0
95957,95957,312,837,319,339,10,548,593,820,837,837,0
95959,95959,7187,16924,8055,7464,370,13901,14918,17404,17534,17534,0
95960,95960,302,752,320,324,2,571,616,752,752,752,0
95961,95961,8577,27026,10046,9893,1047,16211,17975,26652,27141,27141,0
95962,95962,664,1235,593,516,0,991,1038,1235,1235,1235,0
95963,95963,5364,14929,5909,5796,220,9614,10932,14841,14943,14943,0
95965,95965,6895,19195,8347,7933,630,13257,15429,20216,20473,20473,0
95966,95966,11294,30146,12344,12580,1002,20511,23730,30299,30557,30557,0
95968,95968,442,1250,462,540,12,787,969,1241,1250,1250,0
95969,95969,11485,27368,11909,12298,372,21121,23312,27643,27850,27850,0
95970,95970,216,500,248,203,4,399,437,491,500,500,0
95971,95971,2503,5678,2644,2509,153,4429,4959,5924,5952,5952,0
95973,95973,13678,34844,13876,14502,466,23165,26915,34897,35297,35297,0
95974,95974,15,65,15,15,0,30,30,65,65,65,0
95975,95975,691,1811,795,646,98,1372,1441,1729,1811,1811,0
95977,95977,632,1723,817,571,14,964,1328,1651,1730,1730,0
95978,95978,38,115,9,39,0,48,48,115,115,115,0
95979,95979,292,730,349,297,30,573,585,750,750,750,0
95981,95981,45,96,45,51,0,96,96,96,96,96,0
95982,95982,1185,3475,1340,1361,21,2178,2578,3455,3487,3487,0
95983,95983,238,500,198,231,0,385,410,500,500,500,0
95984,95984,39,39,9,30,0,39,39,39,39,39,0
95986,95986,54,79,44,35,0,79,79,79,79,79,0
95987,95987,1745,6019,2610,2152,252,3835,4441,6066,6142,6142,0
95988,95988,3121,8474,3341,3402,197,5603,6367,8426,8663,8663,0
95991,95991,14160,40282,15438,15716,1201,25258,29101,40024,40683,40683,0
95993,95993,11925,36218,14199,14948,1734,24453,27219,36340,36617,36617,0
96001,96001,13610,33203,13964,14040,552,24150,26790,34023,34260,34260,0
96002,96002,12325,32317,12962,14155,512,22422,25569,32605,32943,32943,0
96003,96003,17842,43962,18004,19665,493,31050,36130,44534,44929,44929,0
96006,96006,147,359,176,181,0,289,312,389,389,389,0
96007,96007,9108,23271,9221,9510,486,16223,17770,23070,23354,23354,0
96008,96008,491,1480,538,690,0,1092,1180,1476,1483,1483,0
96009,96009,144,288,133,125,0,246,246,288,288,288,0
96010,96010,67,170,122,59,0,144,177,194,194,194,0
96011,96011,59,110,54,42,0,95,95,116,116,116,0
96013,96013,1808,4362,1580,2053,37,3153,3510,4517,4538,4538,0
96014,96014,94,146,90,46,0,127,136,146,146,146,0
96015,96015,116,330,226,249,0,443,443,587,587,587,0
96016,96016,244,497,196,241,0,405,413,497,497,497,0
96017,96017,76,160,83,60,1,135,135,160,160,160,0
96019,96019,3686,10094,3831,3928,389,6760,7493,10013,10121,10121,0
96020,96020,1070,2408,1066,972,52,1900,2009,2438,2438,2438,0
96021,96021,5793,16268,6063,6478,379,9969,11564,16168,16322,16322,0
96022,96022,6269,16904,6688,6812,397,11746,12921,16660,16904,16904,0
96023,96023,457,1096,389,449,47,694,808,1063,1096,1096,0
96024,96024,418,959,389,339,30,687,689,946,962,962,0
96025,96025,988,2107,985,861,28,1648,1780,2105,2121,2121,0
96027,96027,998,2337,1068,995,8,1789,1965,2376,2390,2390,0
96028,96028,518,1345,665,608,12,1048,1167,1403,1403,1403,0
96029,96029,65,200,84,65,2,131,140,195,200,200,0
96031,96031,63,175,65,67,0,130,132,169,175,175,0
96032,96032,960,2460,1044,922,35,1761,1852,2465,2518,2518,0
96033,96033,230,561,251,234,32,432,478,561,561,561,0
96034,96034,120,220,92,111,1,194,194,219,220,220,0
96035,96035,1131,3398,1436,1418,165,2380,2702,3378,3398,3398,0
96037,96037,88,213,82,116,16,185,198,216,216,216,0
96038,96038,251,602,268,209,0,439,468,602,602,602,0
96039,96039,515,1029,483,431,20,830,882,1038,1044,1044,0
96040,96040,141,265,123,152,0,249,268,275,275,275,0
96041,96041,1312,3032,1461,1273,106,2346,2617,3015,3061,3061,0
96044,96044,436,929,443,381,31,719,774,931,937,937,0
96046,96046,54,134,80,54,0,134,134,134,134,134,0
96047,96047,330,792,355,329,29,577,653,789,799,799,0
96048,96048,248,676,270,351,6,583,596,680,701,701,0
96049,96049,14,28,14,14,0,28,28,28,28,28,0
96050,96050,206,387,200,163,0,335,353,387,387,387,0
96051,96051,534,1264,491,594,28,973,1048,1258,1264,1264,0
96052,96052,569,1302,753,547,65,1168,1252,1414,1417,1417,0
96054,96054,123,260,132,96,20,218,223,260,260,260,0
96055,96055,1450,3952,1566,1651,59,2700,3102,3940,4002,4002,0
96056,96056,773,1693,720,776,14,1351,1428,1664,1693,1693,0
96057,96057,589,1300,622,512,22,1043,1088,1292,1305,1305,0
96058,96058,276,742,405,236,14,507,597,772,779,779,0
96059,96059,233,583,262,192,17,424,443,592,604,604,0
96061,96061,15,27,12,15,0,27,27,27,27,27,0
96062,96062,432,1180,464,480,5,842,877,1168,1180,1180,0
96063,96063,103,188,87,65,0,152,152,182,188,188,0
96064,96064,1862,4853,2044,1892,139,3396,3760,4810,4881,4881,0
96065,96065,149,347,188,138,9,293,298,358,360,360,0
96067,96067,3355,6780,2693,3260,117,5380,5725,6828,6828,6828,0
96068,96068,33,42,99,29,0,114,128,131,131,131,0
96069,96069,379,775,377,337,3,680,693,792,792,792,0
96071,96071,61,180,61,78,37,139,139,180,180,180,0
96073,96073,1496,4156,1688,1794,72,2995,3252,4131,4174,4174,0
96074,96074,49,112,124,48,4,161,172,196,196,196,0
96075,96075,110,194,202,96,0,285,298,304,304,304,0
96076,96076,54,101,83,46,0,129,129,139,139,139,0
96080,96080,10678,27040,10758,11476,756,19216,21141,27311,27564,27564,0
96084,96084,189,416,184,190,0,326,374,416,416,416,0
96085,96085,33,91,36,40,0,68,70,91,91,91,0
96086,96086,148,283,154,126,1,266,274,299,304,304,0
96087,96087,319,600,313,237,18,537,537,600,600,600,0
96088,96088,1938,4410,2021,1837,125,3587,3712,4410,4410,4410,0
96090,96090,184,467,172,204,7,335,352,467,467,467,0
96091,96091,260,561,271,228,0,443,494,561,561,561,0
96092,96092,149,257,156,116,22,254,254,300,300,300,0
96093,96093,1613,3942,1575,1680,0,2944,3098,4031,4031,4031,0
96094,96094,2724,6293,2671,2764,109,4581,5208,6419,6446,6446,0
96096,96096,274,701,329,298,14,552,593,733,733,733,0
96097,96097,4388,9703,3718,4097,434,6667,7472,9622,9744,9744,0
96101,96101,2278,5177,2250,2216,36,3881,4303,5323,5378,5378,0
96103,96103,764,1362,600,696,0,1272,1290,1357,1369,1369,0
96104,96104,254,546,261,212,1,442,448,566,576,576,0
96105,96105,57,70,15,55,0,70,70,70,70,70,0
96106,96106,112,223,103,120,0,223,223,223,223,223,0
96107,96107,446,1068,425,483,0,832,842,1095,1129,1129,0
96108,96108,4,7,4,3,0,7,7,7,7,7,0
96109,96109,423,741,388,266,0,633,654,741,741,741,0
96110,96110,72,167,76,66,0,133,139,162,167,167,0
96111,96111,23,30,23,7,0,30,30,30,30,30,0
96112,96112,107,332,91,153,34,204,233,331,332,332,0
96113,96113,342,730,1659,264,0,1721,1875,2094,2100,2100,0
96114,96114,1353,3375,1437,1367,139,2521,2673,3378,3387,3387,0
96115,96115,84,179,94,71,0,156,165,179,179,179,0
96116,96116,75,127,64,63,0,127,127,127,127,127,0
96117,96117,107,300,88,121,0,171,186,292,300,300,0
96118,96118,629,1600,675,659,28,1223,1296,1607,1629,1629,0
96119,96119,35,100,41,42,0,79,83,100,100,100,0
96120,96120,312,1079,528,388,19,715,826,1073,1079,1079,0
96121,96121,127,302,176,97,40,242,273,302,302,302,0
96122,96122,1534,3463,1341,1591,124,2473,2733,3497,3532,3532,0
96123,96123,16,46,14,13,0,27,27,46,46,46,0
96124,96124,214,385,160,201,0,341,361,385,385,385,0
96125,96125,119,227,115,112,0,227,227,227,227,227,0
96126,96126,19,34,20,19,0,39,39,39,39,39,0
96128,96128,337,773,421,336,13,650,730,832,840,840,0
96129,96129,64,132,61,64,0,125,125,132,132,132,0
96130,96130,5323,12421,13252,4892,280,14406,17539,20556,20812,20812,0
96132,96132,44,119,39,37,0,72,73,119,119,119,0
96133,96133,51,202,89,32,0,83,83,202,202,202,0
96134,96134,813,2168,880,914,65,1497,1661,2157,2203,2203,0
96135,96135,75,172,35,58,0,93,93,172,172,172,0
96136,96136,36,47,11,36,0,47,47,47,47,47,0
96137,96137,1675,3707,1594,1577,20,2737,3014,3681,3707,3707,0
96140,96140,353,805,369,335,0,608,675,805,805,805,0
96141,96141,228,455,215,169,0,366,384,464,464,464,0
96142,96142,313,766,222,378,31,488,551,766,766,766,0
96143,96143,1324,3737,1933,1319,24,2790,3114,3672,3737,3737,0
96145,96145,1112,2367,1036,1043,28,1968,2056,2360,2399,2399,0
96146,96146,450,925,510,324,0,748,832,954,968,968,0
96148,96148,242,776,335,284,10,547,607,739,776,776,0
96150,96150,11277,28523,12830,11801,707,20831,23592,28649,29001,29001,0
96155,96155,0,0,0,0,0,0,0,0,0,0,0
96161,96161,7024,18251,7692,6783,127,12779,13882,18174,18255,18255,0
96701,96701,12988,38779,16658,16595,1795,28993,30385,39295,39697,39697,0
96703,96703,592,2049,822,825,100,1401,1541,2024,2049,2049,0
96704,96704,2552,7874,2954,3296,334,5630,5948,7838,7874,7874,0
96705,96705,748,2642,1081,1059,206,1812,2011,2628,2651,2651,0
96706,96706,18471,68599,26386,26650,4154,44581,48249,67646,68881,68881,0
