,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
26174,75765,7607,0,7607,0.0,1.0
26175,75766,26388,14075,12313,0.533,0.467
26176,75770,2776,39,2737,0.014,0.986
26177,75771,18361,9972,8389,0.543,0.457
26178,75773,12791,5608,7183,0.438,0.562
26179,75778,3254,0,3254,0.0,1.0
26180,75779,122,0,122,0.0,1.0
26181,75780,312,0,312,0.0,1.0
26182,75783,7219,2505,4714,0.347,0.653
26183,75784,658,0,658,0.0,1.0
26184,75785,11263,4691,6572,0.416,0.584
26185,75788,126,0,126,0.0,1.0
26186,75789,7593,0,7593,0.0,1.0
26187,75790,4203,2502,1701,0.595,0.405
26188,75791,13125,9122,4003,0.695,0.305
26189,75792,3518,0,3518,0.0,1.0
26190,75801,16799,11159,5640,0.664,0.336
26191,75803,22397,8095,14302,0.361,0.639
26192,75831,5386,0,5386,0.0,1.0
26193,75832,66,0,66,0.0,1.0
26194,75833,3324,0,3324,0.0,1.0
26195,75835,12012,6292,5720,0.524,0.476
26196,75838,666,0,666,0.0,1.0
26197,75839,5069,0,5069,0.0,1.0
26198,75840,7076,3280,3796,0.464,0.536
26199,75844,5718,0,5718,0.0,1.0
26200,75845,3259,0,3259,0.0,1.0
26201,75846,2718,0,2718,0.0,1.0
26202,75847,1859,0,1859,0.0,1.0
26203,75848,92,0,92,0.0,1.0
26204,75849,75,0,75,0.0,1.0
26205,75850,671,0,671,0.0,1.0
26206,75851,5050,0,5050,0.0,1.0
26207,75852,3762,0,3762,0.0,1.0
26208,75853,963,0,963,0.0,1.0
26209,75855,2369,0,2369,0.0,1.0
26210,75856,196,0,196,0.0,1.0
26211,75858,43,0,43,0.0,1.0
26212,75859,1923,0,1923,0.0,1.0
26213,75860,6644,3363,3281,0.506,0.494
26214,75861,9017,0,9017,0.0,1.0
26215,75862,10091,3320,6771,0.329,0.671
26216,75901,29036,19981,9055,0.688,0.312
26217,75904,34004,24946,9058,0.734,0.266
26218,75925,4179,0,4179,0.0,1.0
26219,75926,1070,0,1070,0.0,1.0
26220,75928,1411,0,1411,0.0,1.0
26221,75929,1599,0,1599,0.0,1.0
26222,75930,2023,0,2023,0.0,1.0
26223,75931,2631,0,2631,0.0,1.0
26224,75932,1437,0,1437,0.0,1.0
26225,75933,1599,0,1599,0.0,1.0
26226,75934,99,0,99,0.0,1.0
26227,75935,13685,5234,8451,0.382,0.618
26228,75936,889,0,889,0.0,1.0
26229,75937,994,0,994,0.0,1.0
26230,75938,2608,0,2608,0.0,1.0
26231,75939,3992,0,3992,0.0,1.0
26232,75941,9105,4461,4644,0.49,0.51
26233,75942,115,0,115,0.0,1.0
26234,75943,1262,0,1262,0.0,1.0
26235,75944,1301,0,1301,0.0,1.0
26236,75946,3578,0,3578,0.0,1.0
26237,75948,6281,0,6281,0.0,1.0
26238,75949,7976,0,7976,0.0,1.0
26239,75951,16134,7790,8344,0.483,0.517
26240,75954,3280,0,3280,0.0,1.0
26241,75956,7623,0,7623,0.0,1.0
26242,75959,923,0,923,0.0,1.0
26243,75960,913,0,913,0.0,1.0
26244,75961,14910,7800,7110,0.523,0.477
26245,75962,3029,3029,0,1.0,0.0
26246,75964,20097,11103,8994,0.552,0.448
26247,75965,17591,12614,4977,0.717,0.283
26248,75966,5371,0,5371,0.0,1.0
26249,75968,1766,0,1766,0.0,1.0
26250,75969,4116,0,4116,0.0,1.0
26251,75972,6620,0,6620,0.0,1.0
26252,75973,2599,0,2599,0.0,1.0
26253,75974,3126,0,3126,0.0,1.0
26254,75975,3699,0,3699,0.0,1.0
26255,75976,827,0,827,0.0,1.0
26256,75977,750,0,750,0.0,1.0
26257,75978,144,0,144,0.0,1.0
26258,75979,11423,4760,6663,0.417,0.583
26259,75980,2836,0,2836,0.0,1.0
26260,76001,30460,30452,8,1.0,0.0
26261,76002,30269,30269,0,1.0,0.0
26262,76006,22639,22639,0,1.0,0.0
26263,76008,13602,8406,5196,0.618,0.382
26264,76009,19759,9815,9944,0.497,0.503
26265,76010,55706,55706,0,1.0,0.0
26266,76011,21594,21594,0,1.0,0.0
26267,76012,25689,25689,0,1.0,0.0
26268,76013,30680,30680,0,1.0,0.0
26269,76014,34072,34072,0,1.0,0.0
26270,76015,16658,16658,0,1.0,0.0
26271,76016,30852,30852,0,1.0,0.0
26272,76017,44724,44724,0,1.0,0.0
26273,76018,26938,26938,0,1.0,0.0
26274,76020,27270,16189,11081,0.594,0.406
26275,76021,33673,33673,0,1.0,0.0
26276,76022,13212,13212,0,1.0,0.0
26277,76023,5832,0,5832,0.0,1.0
26278,76028,59744,52293,7451,0.875,0.125
26279,76031,17759,9307,8452,0.524,0.476
26280,76033,24819,20712,4107,0.835,0.165
26281,76034,22748,22748,0,1.0,0.0
26282,76035,1622,0,1622,0.0,1.0
26283,76036,22352,19635,2717,0.878,0.122
26284,76039,32925,32925,0,1.0,0.0
26285,76040,27524,27524,0,1.0,0.0
26286,76041,434,0,434,0.0,1.0
26287,76043,7071,0,7071,0.0,1.0
26288,76044,3866,0,3866,0.0,1.0
26289,76048,21989,16600,5389,0.755,0.245
26290,76049,25130,18016,7114,0.717,0.283
26291,76050,5875,0,5875,0.0,1.0
26292,76051,46320,46320,0,1.0,0.0
26293,76052,15995,13906,2089,0.869,0.131
26294,76053,28421,28421,0,1.0,0.0
26295,76054,11764,11764,0,1.0,0.0
26296,76055,3084,0,3084,0.0,1.0
26297,76058,17123,4982,12141,0.291,0.709
26298,76059,4881,4803,78,0.984,0.016
26299,76060,6764,6424,340,0.95,0.05
26300,76061,152,0,152,0.0,1.0
26301,76063,61361,57110,4251,0.931,0.069
26302,76064,1883,0,1883,0.0,1.0
26303,76065,28986,23636,5350,0.815,0.185
26304,76066,3142,0,3142,0.0,1.0
26305,76067,22117,16109,6008,0.728,0.272
26306,76070,752,0,752,0.0,1.0
26307,76071,3320,2902,418,0.874,0.126
26308,76073,5327,0,5327,0.0,1.0
26309,76077,590,0,590,0.0,1.0
26310,76078,8572,2017,6555,0.235,0.765
26311,76082,17748,5093,12655,0.287,0.713
26312,76084,8327,5164,3163,0.62,0.38
26313,76085,8787,2437,6350,0.277,0.723
26314,76086,20196,19481,715,0.965,0.035
26315,76087,24746,11346,13400,0.458,0.542
26316,76088,11499,503,10996,0.044,0.956
26317,76092,26669,26189,480,0.982,0.018
26318,76093,2095,0,2095,0.0,1.0
26319,76102,8111,8111,0,1.0,0.0
26320,76103,14572,14572,0,1.0,0.0
26321,76104,17446,17446,0,1.0,0.0
26322,76105,22194,22194,0,1.0,0.0
26323,76106,35389,35389,0,1.0,0.0
26324,76107,25917,25917,0,1.0,0.0
26325,76108,38227,34117,4110,0.892,0.108
26326,76109,21710,21710,0,1.0,0.0
26327,76110,30434,30434,0,1.0,0.0
26328,76111,21685,21685,0,1.0,0.0
26329,76112,38993,38993,0,1.0,0.0
26330,76114,24741,24741,0,1.0,0.0
26331,76115,20696,20696,0,1.0,0.0
