,ZCTA5,urban_rural-population-total_population,urban_rural-population-urban_total_population,urban_rural-population-rural_total_population,urban_rural-percent-urban_population-of-total_population,urban_rural-percent-rural_population-of-total_population
16276,49089,1875,0,1875,0.0,1.0
16277,49090,13810,5791,8019,0.419,0.581
16278,49091,19872,13040,6832,0.656,0.344
16279,49092,2187,0,2187,0.0,1.0
16280,49093,18380,10802,7578,0.588,0.412
16281,49094,4104,0,4104,0.0,1.0
16282,49095,1960,0,1960,0.0,1.0
16283,49096,3316,0,3316,0.0,1.0
16284,49097,10326,5133,5193,0.497,0.503
16285,49098,5966,3822,2144,0.641,0.359
16286,49099,5629,1751,3878,0.311,0.689
16287,49101,3104,0,3104,0.0,1.0
16288,49102,1563,0,1563,0.0,1.0
16289,49103,11082,6490,4592,0.586,0.414
16290,49104,868,868,0,1.0,0.0
16291,49106,4636,2464,2172,0.531,0.469
16292,49107,10382,5522,4860,0.532,0.468
16293,49111,3346,0,3346,0.0,1.0
16294,49112,10171,5757,4414,0.566,0.434
16295,49113,1904,0,1904,0.0,1.0
16296,49115,294,0,294,0.0,1.0
16297,49116,394,0,394,0.0,1.0
16298,49117,3951,595,3356,0.151,0.849
16299,49119,136,0,136,0.0,1.0
16300,49120,37122,25916,11206,0.698,0.302
16301,49125,2046,0,2046,0.0,1.0
16302,49126,1341,321,1020,0.239,0.761
16303,49127,10694,9651,1043,0.902,0.098
16304,49128,3715,0,3715,0.0,1.0
16305,49129,609,0,609,0.0,1.0
16306,49130,1659,0,1659,0.0,1.0
16307,49201,45190,24958,20232,0.552,0.448
16308,49202,20661,20553,108,0.995,0.005
16309,49203,38280,37845,435,0.989,0.011
16310,49220,2290,0,2290,0.0,1.0
16311,49221,41310,31881,9429,0.772,0.228
16312,49224,14224,9219,5005,0.648,0.352
16313,49227,1284,0,1284,0.0,1.0
16314,49228,5545,3202,2343,0.577,0.423
16315,49229,3245,0,3245,0.0,1.0
16316,49230,10475,2773,7702,0.265,0.735
16317,49232,2801,0,2801,0.0,1.0
16318,49233,2646,949,1697,0.359,0.641
16319,49234,2579,0,2579,0.0,1.0
16320,49235,2117,0,2117,0.0,1.0
16321,49236,4838,2382,2456,0.492,0.508
16322,49237,2980,0,2980,0.0,1.0
16323,49238,1735,0,1735,0.0,1.0
16324,49240,8703,0,8703,0.0,1.0
16325,49241,2579,0,2579,0.0,1.0
16326,49242,15248,8946,6302,0.587,0.413
16327,49245,4845,0,4845,0.0,1.0
16328,49246,3255,0,3255,0.0,1.0
16329,49247,5768,0,5768,0.0,1.0
16330,49248,899,0,899,0.0,1.0
16331,49249,3408,1789,1619,0.525,0.475
16332,49250,6182,2078,4104,0.336,0.664
16333,49251,6229,0,6229,0.0,1.0
16334,49252,2605,0,2605,0.0,1.0
16335,49253,3166,0,3166,0.0,1.0
16336,49254,3321,2851,470,0.858,0.142
16337,49255,1939,0,1939,0.0,1.0
16338,49256,3888,0,3888,0.0,1.0
16339,49259,2523,0,2523,0.0,1.0
16340,49261,290,0,290,0.0,1.0
16341,49262,1280,0,1280,0.0,1.0
16342,49263,85,0,85,0.0,1.0
16343,49264,1992,0,1992,0.0,1.0
16344,49265,4958,0,4958,0.0,1.0
16345,49266,2942,622,2320,0.211,0.789
16346,49267,4072,635,3437,0.156,0.844
16347,49268,1059,101,958,0.095,0.905
16348,49269,5998,721,5277,0.12,0.88
16349,49270,5874,0,5874,0.0,1.0
16350,49271,2256,0,2256,0.0,1.0
16351,49272,2417,0,2417,0.0,1.0
16352,49274,3670,0,3670,0.0,1.0
16353,49276,1003,0,1003,0.0,1.0
16354,49277,3668,0,3668,0.0,1.0
16355,49279,797,0,797,0.0,1.0
16356,49282,372,172,200,0.462,0.538
16357,49283,4362,3129,1233,0.717,0.283
16358,49284,3028,0,3028,0.0,1.0
16359,49285,5720,0,5720,0.0,1.0
16360,49286,14797,10560,4237,0.714,0.286
16361,49287,2099,0,2099,0.0,1.0
16362,49288,1384,0,1384,0.0,1.0
16363,49289,167,0,167,0.0,1.0
16364,49301,18701,10553,8148,0.564,0.436
16365,49302,7585,1476,6109,0.195,0.805
16366,49303,1129,0,1129,0.0,1.0
16367,49304,4328,0,4328,0.0,1.0
16368,49305,2264,0,2264,0.0,1.0
16369,49306,9244,5973,3271,0.646,0.354
16370,49307,20112,14241,5871,0.708,0.292
16371,49309,1843,0,1843,0.0,1.0
16372,49310,3016,0,3016,0.0,1.0
16373,49312,274,0,274,0.0,1.0
16374,49315,19915,14085,5830,0.707,0.293
16375,49316,20074,11429,8645,0.569,0.431
16376,49318,1398,0,1398,0.0,1.0
16377,49319,16181,3832,12349,0.237,0.763
16378,49320,21,0,21,0.0,1.0
16379,49321,16241,14209,2032,0.875,0.125
16380,49322,1212,0,1212,0.0,1.0
16381,49323,9410,3519,5891,0.374,0.626
16382,49325,1909,0,1909,0.0,1.0
16383,49326,3752,0,3752,0.0,1.0
16384,49327,8406,449,7957,0.053,0.947
16385,49328,3885,0,3885,0.0,1.0
16386,49329,8641,0,8641,0.0,1.0
16387,49330,5440,0,5440,0.0,1.0
16388,49331,16627,6803,9824,0.409,0.591
16389,49332,3019,0,3019,0.0,1.0
16390,49333,11191,3629,7562,0.324,0.676
16391,49335,314,252,62,0.803,0.197
16392,49336,4352,0,4352,0.0,1.0
16393,49337,12088,2886,9202,0.239,0.761
16394,49338,1842,0,1842,0.0,1.0
16395,49339,2283,0,2283,0.0,1.0
16396,49340,2912,0,2912,0.0,1.0
16397,49341,33737,16588,17149,0.492,0.508
16398,49342,1649,0,1649,0.0,1.0
16399,49343,5489,0,5489,0.0,1.0
16400,49344,3410,634,2776,0.186,0.814
16401,49345,13040,5778,7262,0.443,0.557
16402,49346,5446,0,5446,0.0,1.0
16403,49347,1257,0,1257,0.0,1.0
16404,49348,12153,7054,5099,0.58,0.42
16405,49349,8087,0,8087,0.0,1.0
16406,49401,20735,18118,2617,0.874,0.126
16407,49402,1380,0,1380,0.0,1.0
16408,49403,2473,0,2473,0.0,1.0
16409,49404,8269,3951,4318,0.478,0.522
16410,49405,1559,0,1559,0.0,1.0
16411,49406,884,772,112,0.873,0.127
16412,49408,9091,444,8647,0.049,0.951
16413,49410,2005,0,2005,0.0,1.0
16414,49411,1538,0,1538,0.0,1.0
16415,49412,11065,4496,6569,0.406,0.594
16416,49415,6480,3211,3269,0.496,0.504
16417,49417,29183,23443,5740,0.803,0.197
16418,49418,27417,26986,431,0.984,0.016
16419,49419,7791,0,7791,0.0,1.0
16420,49420,6420,2350,4070,0.366,0.634
16421,49421,5991,0,5991,0.0,1.0
16422,49423,44977,38953,6024,0.866,0.134
16423,49424,44760,41257,3503,0.922,0.078
16424,49425,3660,0,3660,0.0,1.0
16425,49426,33244,26915,6329,0.81,0.19
16426,49428,25420,24806,614,0.976,0.024
16427,49431,16875,10710,6165,0.635,0.365
16428,49434,20,19,1,0.95,0.05
16429,49435,3549,0,3549,0.0,1.0
16430,49436,1622,206,1416,0.127,0.873
16431,49437,6902,2532,4370,0.367,0.633
16432,49440,953,953,0,1.0,0.0
16433,49441,36308,35985,323,0.991,0.009
16434,49442,41214,37520,3694,0.91,0.09
16435,49444,29456,28410,1046,0.964,0.036
16436,49445,20784,13252,7532,0.638,0.362
16437,49446,2321,0,2321,0.0,1.0
16438,49448,3410,244,3166,0.072,0.928
16439,49449,2675,0,2675,0.0,1.0
16440,49450,3302,0,3302,0.0,1.0
16441,49451,6012,0,6012,0.0,1.0
16442,49452,1952,0,1952,0.0,1.0
16443,49453,2626,1354,1272,0.516,0.484
16444,49454,4574,0,4574,0.0,1.0
16445,49455,5034,0,5034,0.0,1.0
16446,49456,18581,16272,2309,0.876,0.124
16447,49457,10565,5451,5114,0.516,0.484
16448,49458,119,0,119,0.0,1.0
16449,49459,1351,0,1351,0.0,1.0
16450,49460,8126,498,7628,0.061,0.939
16451,49461,8929,4152,4777,0.465,0.535
16452,49464,27481,19637,7844,0.715,0.285
16453,49503,35940,35940,0,1.0,0.0
16454,49504,39994,39994,0,1.0,0.0
16455,49505,31216,31216,0,1.0,0.0
16456,49506,31354,31354,0,1.0,0.0
16457,49507,35459,35459,0,1.0,0.0
16458,49508,39148,39148,0,1.0,0.0
16459,49509,26720,26720,0,1.0,0.0
16460,49512,15448,15132,316,0.98,0.02
16461,49519,27424,27424,0,1.0,0.0
16462,49525,27383,26579,804,0.971,0.029
16463,49534,21570,17902,3668,0.83,0.17
16464,49544,8944,7535,1409,0.842,0.158
16465,49546,31880,31880,0,1.0,0.0
16466,49548,30524,30524,0,1.0,0.0
16467,49601,21236,11690,9546,0.55,0.45
16468,49611,236,0,236,0.0,1.0
16469,49612,1121,0,1121,0.0,1.0
16470,49613,680,0,680,0.0,1.0
16471,49614,2790,0,2790,0.0,1.0
16472,49615,4131,0,4131,0.0,1.0
16473,49616,1974,0,1974,0.0,1.0
16474,49617,3363,0,3363,0.0,1.0
16475,49618,761,0,761,0.0,1.0
16476,49619,1110,0,1110,0.0,1.0
16477,49620,2445,0,2445,0.0,1.0
16478,49621,3096,13,3083,0.004,0.996
16479,49622,2494,0,2494,0.0,1.0
16480,49623,1164,0,1164,0.0,1.0
16481,49625,1379,0,1379,0.0,1.0
16482,49626,421,305,116,0.724,0.276
16483,49627,206,0,206,0.0,1.0
16484,49628,372,0,372,0.0,1.0
16485,49629,2223,0,2223,0.0,1.0
16486,49630,1429,0,1429,0.0,1.0
16487,49631,6357,0,6357,0.0,1.0
16488,49632,1126,0,1126,0.0,1.0
16489,49633,3703,0,3703,0.0,1.0
16490,49634,116,116,0,1.0,0.0
16491,49635,3350,0,3350,0.0,1.0
16492,49636,560,0,560,0.0,1.0
16493,49637,3405,1582,1823,0.465,0.535
16494,49638,824,0,824,0.0,1.0
16495,49639,2557,0,2557,0.0,1.0
16496,49640,1618,0,1618,0.0,1.0
16497,49642,842,0,842,0.0,1.0
16498,49643,6253,0,6253,0.0,1.0
16499,49644,2033,0,2033,0.0,1.0
16500,49645,1632,0,1632,0.0,1.0
16501,49646,8229,2668,5561,0.324,0.676
16502,49648,2098,0,2098,0.0,1.0
16503,49649,7789,0,7789,0.0,1.0
16504,49650,3144,0,3144,0.0,1.0
16505,49651,7665,0,7665,0.0,1.0
16506,49653,1922,0,1922,0.0,1.0
16507,49654,690,0,690,0.0,1.0
16508,49655,3173,0,3173,0.0,1.0
16509,49656,1534,0,1534,0.0,1.0
16510,49657,3683,0,3683,0.0,1.0
16511,49659,6801,0,6801,0.0,1.0
16512,49660,14066,9185,4881,0.653,0.347
16513,49663,5874,0,5874,0.0,1.0
16514,49664,2067,0,2067,0.0,1.0
16515,49665,4413,0,4413,0.0,1.0
16516,49666,106,0,106,0.0,1.0
16517,49667,549,0,549,0.0,1.0
16518,49668,3625,0,3625,0.0,1.0
16519,49670,1891,0,1891,0.0,1.0
16520,49674,110,0,110,0.0,1.0
16521,49675,1030,0,1030,0.0,1.0
16522,49676,3407,0,3407,0.0,1.0
16523,49677,6631,0,6631,0.0,1.0
16524,49679,1428,0,1428,0.0,1.0
16525,49680,1916,0,1916,0.0,1.0
16526,49682,4253,126,4127,0.03,0.97
16527,49683,1939,0,1939,0.0,1.0
16528,49684,37963,24214,13749,0.638,0.362
16529,49686,32056,20264,11792,0.632,0.368
16530,49688,2703,0,2703,0.0,1.0
16531,49689,1560,0,1560,0.0,1.0
16532,49690,6182,910,5272,0.147,0.853
16533,49701,1036,0,1036,0.0,1.0
16534,49705,937,0,937,0.0,1.0
16535,49706,4585,0,4585,0.0,1.0
16536,49707,22701,14258,8443,0.628,0.372
16537,49709,3618,0,3618,0.0,1.0
16538,49710,409,0,409,0.0,1.0
16539,49712,7890,3501,4389,0.444,0.556
16540,49713,1864,0,1864,0.0,1.0
16541,49715,3130,0,3130,0.0,1.0
16542,49716,806,0,806,0.0,1.0
16543,49717,72,0,72,0.0,1.0
16544,49718,701,0,701,0.0,1.0
16545,49719,1362,0,1362,0.0,1.0
16546,49720,9172,4179,4993,0.456,0.544
16547,49721,14436,4517,9919,0.313,0.687
16548,49722,220,132,88,0.6,0.4
16549,49724,1146,0,1146,0.0,1.0
16550,49725,766,0,766,0.0,1.0
16551,49726,1058,0,1058,0.0,1.0
16552,49727,7145,0,7145,0.0,1.0
16553,49728,334,0,334,0.0,1.0
16554,49729,1446,0,1446,0.0,1.0
16555,49730,2187,0,2187,0.0,1.0
16556,49733,1965,0,1965,0.0,1.0
16557,49735,19515,8298,11217,0.425,0.575
16558,49736,578,0,578,0.0,1.0
16559,49738,9924,3858,6066,0.389,0.611
16560,49740,7042,0,7042,0.0,1.0
16561,49743,769,0,769,0.0,1.0
16562,49744,823,0,823,0.0,1.0
16563,49745,1089,0,1089,0.0,1.0
16564,49746,3685,0,3685,0.0,1.0
16565,49747,1921,0,1921,0.0,1.0
16566,49748,170,0,170,0.0,1.0
16567,49749,4283,0,4283,0.0,1.0
16568,49751,2087,0,2087,0.0,1.0
16569,49752,515,66,449,0.128,0.872
16570,49753,2057,0,2057,0.0,1.0
16571,49755,1892,0,1892,0.0,1.0
16572,49756,3857,0,3857,0.0,1.0
16573,49757,492,0,492,0.0,1.0
16574,49759,1682,0,1682,0.0,1.0
16575,49760,713,0,713,0.0,1.0
16576,49762,639,0,639,0.0,1.0
16577,49764,139,0,139,0.0,1.0
16578,49765,4154,0,4154,0.0,1.0
16579,49766,2417,0,2417,0.0,1.0
16580,49768,476,0,476,0.0,1.0
16581,49769,1644,0,1644,0.0,1.0
16582,49770,16862,8078,8784,0.479,0.521
16583,49774,1851,0,1851,0.0,1.0
16584,49775,95,0,95,0.0,1.0
16585,49776,1888,0,1888,0.0,1.0
16586,49777,1640,0,1640,0.0,1.0
16587,49779,4639,2560,2079,0.552,0.448
16588,49780,1946,0,1946,0.0,1.0
16589,49781,4020,2531,1489,0.63,0.37
16590,49782,657,0,657,0.0,1.0
16591,49783,19668,13114,6554,0.667,0.333
16592,49788,6609,6489,120,0.982,0.018
16593,49791,329,0,329,0.0,1.0
16594,49793,322,0,322,0.0,1.0
16595,49795,2097,0,2097,0.0,1.0
16596,49796,320,0,320,0.0,1.0
16597,49799,2327,0,2327,0.0,1.0
16598,49801,11424,7786,3638,0.682,0.318
16599,49802,6230,6007,223,0.964,0.036
16600,49805,336,0,336,0.0,1.0
16601,49806,627,0,627,0.0,1.0
16602,49807,3390,0,3390,0.0,1.0
16603,49808,352,0,352,0.0,1.0
16604,49812,925,0,925,0.0,1.0
16605,49814,1429,0,1429,0.0,1.0
16606,49815,488,0,488,0.0,1.0
16607,49816,724,0,724,0.0,1.0
16608,49817,615,0,615,0.0,1.0
16609,49818,988,0,988,0.0,1.0
16610,49819,36,0,36,0.0,1.0
16611,49820,382,0,382,0.0,1.0
16612,49821,1354,0,1354,0.0,1.0
16613,49822,220,0,220,0.0,1.0
16614,49825,299,0,299,0.0,1.0
16615,49826,137,0,137,0.0,1.0
16616,49827,897,0,897,0.0,1.0
16617,49829,17347,13811,3536,0.796,0.204
16618,49831,780,0,780,0.0,1.0
16619,49833,266,0,266,0.0,1.0
16620,49834,284,0,284,0.0,1.0
16621,49835,802,0,802,0.0,1.0
16622,49836,938,0,938,0.0,1.0
16623,49837,9795,6359,3436,0.649,0.351
16624,49838,504,0,504,0.0,1.0
16625,49839,479,0,479,0.0,1.0
16626,49840,771,0,771,0.0,1.0
16627,49841,7016,0,7016,0.0,1.0
16628,49847,998,0,998,0.0,1.0
16629,49848,128,0,128,0.0,1.0
16630,49849,12242,8596,3646,0.702,0.298
16631,49852,120,0,120,0.0,1.0
16632,49853,1278,0,1278,0.0,1.0
16633,49854,6469,3482,2987,0.538,0.462
16634,49855,33561,26946,6615,0.803,0.197
16635,49858,12088,8570,3518,0.709,0.291
16636,49861,616,0,616,0.0,1.0
16637,49862,5025,2751,2274,0.547,0.453
16638,49863,130,0,130,0.0,1.0
16639,49864,54,0,54,0.0,1.0
16640,49866,8034,3705,4329,0.461,0.539
16641,49868,5409,3225,2184,0.596,0.404
16642,49870,3329,2229,1100,0.67,0.33
16643,49871,510,0,510,0.0,1.0
16644,49872,206,0,206,0.0,1.0
16645,49873,120,0,120,0.0,1.0
16646,49874,1126,0,1126,0.0,1.0
16647,49876,1240,1202,38,0.969,0.031
16648,49877,67,0,67,0.0,1.0
16649,49878,3583,0,3583,0.0,1.0
16650,49879,1038,0,1038,0.0,1.0
16651,49880,1142,0,1142,0.0,1.0
16652,49881,345,0,345,0.0,1.0
16653,49883,151,0,151,0.0,1.0
16654,49884,552,0,552,0.0,1.0
16655,49885,1897,0,1897,0.0,1.0
16656,49886,435,0,435,0.0,1.0
16657,49887,2474,0,2474,0.0,1.0
16658,49891,816,0,816,0.0,1.0
16659,49892,1948,370,1578,0.19,0.81
16660,49893,1784,0,1784,0.0,1.0
16661,49894,680,680,0,1.0,0.0
16662,49895,765,221,544,0.289,0.711
16663,49896,1749,0,1749,0.0,1.0
16664,49901,346,0,346,0.0,1.0
16665,49902,145,0,145,0.0,1.0
16666,49903,133,0,133,0.0,1.0
16667,49905,2005,417,1588,0.208,0.792
16668,49908,3292,0,3292,0.0,1.0
16669,49910,385,0,385,0.0,1.0
16670,49911,2744,0,2744,0.0,1.0
16671,49912,1081,0,1081,0.0,1.0
16672,49913,7248,5476,1772,0.756,0.244
16673,49915,630,561,69,0.89,0.11
16674,49916,2765,556,2209,0.201,0.799
16675,49917,205,0,205,0.0,1.0
16676,49918,120,0,120,0.0,1.0
16677,49919,242,0,242,0.0,1.0
16678,49920,4273,0,4273,0.0,1.0
16679,49921,360,284,76,0.789,0.211
16680,49922,1043,724,319,0.694,0.306
16681,49925,494,0,494,0.0,1.0
16682,49927,483,218,265,0.451,0.549
16683,49929,216,0,216,0.0,1.0
16684,49930,6987,5111,1876,0.732,0.268
16685,49931,9630,8360,1270,0.868,0.132
16686,49934,900,533,367,0.592,0.408
16687,49935,6096,2429,3667,0.398,0.602
16688,49938,7945,5229,2716,0.658,0.342
16689,49942,156,0,156,0.0,1.0
16690,49945,2621,1316,1305,0.502,0.498
16691,49946,4040,0,4040,0.0,1.0
16692,49947,1818,0,1818,0.0,1.0
16693,49948,590,0,590,0.0,1.0
16694,49950,1121,0,1121,0.0,1.0
16695,49952,143,0,143,0.0,1.0
16696,49953,2879,0,2879,0.0,1.0
16697,49955,371,0,371,0.0,1.0
16698,49958,1270,0,1270,0.0,1.0
16699,49959,344,0,344,0.0,1.0
16700,49960,185,0,185,0.0,1.0
16701,49961,107,0,107,0.0,1.0
16702,49962,260,0,260,0.0,1.0
16703,49963,1024,0,1024,0.0,1.0
16704,49965,440,0,440,0.0,1.0
16705,49967,492,0,492,0.0,1.0
16706,49968,2247,0,2247,0.0,1.0
16707,49969,1401,0,1401,0.0,1.0
16708,49970,243,0,243,0.0,1.0
16709,49971,483,0,483,0.0,1.0
16710,50001,680,0,680,0.0,1.0
16711,50002,1297,0,1297,0.0,1.0
16712,50003,6594,3170,3424,0.481,0.519
16713,50005,730,0,730,0.0,1.0
16714,50006,1676,0,1676,0.0,1.0
16715,50007,474,0,474,0.0,1.0
16716,50008,878,0,878,0.0,1.0
16717,50009,16136,14624,1512,0.906,0.094
16718,50010,29359,27875,1484,0.949,0.051
16719,50011,1390,1390,0,1.0,0.0
16720,50012,4062,4062,0,1.0,0.0
16721,50014,28094,26173,1921,0.932,0.068
16722,50020,1407,0,1407,0.0,1.0
16723,50021,21595,21126,469,0.978,0.022
16724,50022,8494,6471,2023,0.762,0.238
16725,50023,27986,27324,662,0.976,0.024
16726,50025,3325,0,3325,0.0,1.0
16727,50026,584,0,584,0.0,1.0
16728,50027,285,0,285,0.0,1.0
16729,50028,1681,0,1681,0.0,1.0
16730,50029,691,0,691,0.0,1.0
16731,50032,399,329,70,0.825,0.175
16732,50033,44,0,44,0.0,1.0
16733,50034,490,0,490,0.0,1.0
16734,50035,5387,3622,1765,0.672,0.328
16735,50036,16287,12793,3494,0.785,0.215
16736,50038,205,0,205,0.0,1.0
16737,50039,329,0,329,0.0,1.0
16738,50041,92,0,92,0.0,1.0
16739,50042,309,0,309,0.0,1.0
16740,50044,887,0,887,0.0,1.0
16741,50046,1524,823,701,0.54,0.46
16742,50047,5559,3968,1591,0.714,0.286
16743,50048,861,0,861,0.0,1.0
16744,50049,6493,3893,2600,0.6,0.4
16745,50050,710,0,710,0.0,1.0
16746,50051,283,0,283,0.0,1.0
16747,50052,138,0,138,0.0,1.0
16748,50054,3356,0,3356,0.0,1.0
16749,50055,913,0,913,0.0,1.0
16750,50056,1372,0,1372,0.0,1.0
16751,50057,238,0,238,0.0,1.0
16752,50058,1927,0,1927,0.0,1.0
16753,50060,2507,0,2507,0.0,1.0
16754,50061,1701,0,1701,0.0,1.0
16755,50062,741,0,741,0.0,1.0
16756,50063,2604,0,2604,0.0,1.0
16757,50064,126,0,126,0.0,1.0
16758,50065,583,0,583,0.0,1.0
16759,50066,262,0,262,0.0,1.0
16760,50067,302,0,302,0.0,1.0
16761,50068,366,0,366,0.0,1.0
16762,50069,1118,0,1118,0.0,1.0
16763,50070,1489,0,1489,0.0,1.0
16764,50071,1007,0,1007,0.0,1.0
16765,50072,2671,0,2671,0.0,1.0
16766,50073,1195,0,1195,0.0,1.0
16767,50074,334,0,334,0.0,1.0
16768,50075,862,0,862,0.0,1.0
16769,50076,1502,0,1502,0.0,1.0
16770,50078,126,0,126,0.0,1.0
16771,50101,66,0,66,0.0,1.0
16772,50102,87,0,87,0.0,1.0
16773,50103,452,0,452,0.0,1.0
16774,50104,128,0,128,0.0,1.0
16775,50105,1158,938,220,0.81,0.19
16776,50106,1039,0,1039,0.0,1.0
16777,50107,1099,0,1099,0.0,1.0
16778,50108,471,0,471,0.0,1.0
16779,50109,2762,0,2762,0.0,1.0
16780,50111,9407,8837,570,0.939,0.061
16781,50112,11536,9080,2456,0.787,0.213
16782,50115,2674,0,2674,0.0,1.0
16783,50116,299,0,299,0.0,1.0
16784,50117,193,0,193,0.0,1.0
16785,50118,1027,0,1027,0.0,1.0
16786,50119,498,0,498,0.0,1.0
16787,50120,323,0,323,0.0,1.0
16788,50122,1373,0,1373,0.0,1.0
16789,50123,818,0,818,0.0,1.0
16790,50124,3750,3271,479,0.872,0.128
16791,50125,19556,14281,5275,0.73,0.27
16792,50126,6853,5070,1783,0.74,0.26
16793,50127,29,0,29,0.0,1.0
16794,50128,360,0,360,0.0,1.0
16795,50129,5228,3906,1322,0.747,0.253
16796,50130,1648,0,1648,0.0,1.0
16797,50131,17499,16467,1032,0.941,0.059
16798,50132,367,0,367,0.0,1.0
16799,50133,567,0,567,0.0,1.0
16800,50134,660,0,660,0.0,1.0
16801,50135,1605,0,1605,0.0,1.0
16802,50136,445,0,445,0.0,1.0
16803,50138,11720,7346,4374,0.627,0.373
16804,50139,1288,0,1288,0.0,1.0
16805,50140,2969,0,2969,0.0,1.0
16806,50141,569,0,569,0.0,1.0
16807,50142,931,0,931,0.0,1.0
16808,50143,600,0,600,0.0,1.0
16809,50144,2901,0,2901,0.0,1.0
16810,50146,438,0,438,0.0,1.0
16811,50147,440,0,440,0.0,1.0
16812,50148,432,0,432,0.0,1.0
16813,50149,964,0,964,0.0,1.0
16814,50150,984,0,984,0.0,1.0
16815,50151,724,0,724,0.0,1.0
16816,50153,734,0,734,0.0,1.0
16817,50154,466,0,466,0.0,1.0
16818,50155,255,0,255,0.0,1.0
16819,50156,4412,0,4412,0.0,1.0
16820,50157,762,0,762,0.0,1.0
16821,50158,31591,26858,4733,0.85,0.15
16822,50160,465,0,465,0.0,1.0
16823,50161,2047,0,2047,0.0,1.0
16824,50162,1233,0,1233,0.0,1.0
16825,50163,858,0,858,0.0,1.0
16826,50164,652,0,652,0.0,1.0
16827,50165,49,0,49,0.0,1.0
16828,50166,1582,0,1582,0.0,1.0
16829,50167,748,0,748,0.0,1.0
16830,50168,842,0,842,0.0,1.0
16831,50169,3093,0,3093,0.0,1.0
16832,50170,2745,0,2745,0.0,1.0
16833,50171,2923,0,2923,0.0,1.0
16834,50173,696,0,696,0.0,1.0
16835,50174,1429,0,1429,0.0,1.0
16836,50201,8199,6728,1471,0.821,0.179
16837,50206,526,0,526,0.0,1.0
16838,50207,2537,0,2537,0.0,1.0
16839,50208,20417,15655,4762,0.767,0.233
16840,50210,1691,0,1691,0.0,1.0
16841,50211,11192,7742,3450,0.692,0.308
16842,50212,3131,0,3131,0.0,1.0
16843,50213,6812,4819,1993,0.707,0.293
16844,50214,850,0,850,0.0,1.0
16845,50216,2824,0,2824,0.0,1.0
16846,50217,631,0,631,0.0,1.0
16847,50218,139,0,139,0.0,1.0
16848,50219,13939,9745,4194,0.699,0.301
16849,50220,9020,7628,1392,0.846,0.154
16850,50222,498,0,498,0.0,1.0
16851,50223,480,0,480,0.0,1.0
16852,50225,2940,0,2940,0.0,1.0
16853,50226,4724,3605,1119,0.763,0.237
16854,50227,40,0,40,0.0,1.0
16855,50228,2417,0,2417,0.0,1.0
16856,50229,932,0,932,0.0,1.0
16857,50230,1083,0,1083,0.0,1.0
16858,50231,173,0,173,0.0,1.0
16859,50232,537,0,537,0.0,1.0
16860,50233,1388,0,1388,0.0,1.0
16861,50234,613,0,613,0.0,1.0
16862,50235,483,0,483,0.0,1.0
16863,50236,1550,0,1550,0.0,1.0
16864,50237,3095,0,3095,0.0,1.0
16865,50238,1182,0,1182,0.0,1.0
16866,50239,210,0,210,0.0,1.0
16867,50240,2453,0,2453,0.0,1.0
16868,50242,439,0,439,0.0,1.0
16869,50243,244,0,244,0.0,1.0
16870,50244,1813,0,1813,0.0,1.0
16871,50246,735,0,735,0.0,1.0
16872,50247,2515,0,2515,0.0,1.0
16873,50248,4420,3311,1109,0.749,0.251
16874,50249,1332,0,1332,0.0,1.0
16875,50250,2330,0,2330,0.0,1.0
16876,50251,1270,0,1270,0.0,1.0
16877,50252,243,0,243,0.0,1.0
16878,50254,282,0,282,0.0,1.0
16879,50255,65,0,65,0.0,1.0
16880,50256,501,0,501,0.0,1.0
16881,50257,992,0,992,0.0,1.0
16882,50258,1002,0,1002,0.0,1.0
16883,50261,2211,0,2211,0.0,1.0
16884,50262,453,0,453,0.0,1.0
16885,50263,16069,14406,1663,0.897,0.103
16886,50264,466,0,466,0.0,1.0
16887,50265,31653,31159,494,0.984,0.016
16888,50266,23625,23285,340,0.986,0.014
16889,50268,993,0,993,0.0,1.0
16890,50271,628,0,628,0.0,1.0
16891,50272,152,0,152,0.0,1.0
16892,50273,8251,5043,3208,0.611,0.389
16893,50274,398,0,398,0.0,1.0
16894,50275,532,0,532,0.0,1.0
16895,50276,2517,0,2517,0.0,1.0
16896,50277,483,0,483,0.0,1.0
16897,50278,842,0,842,0.0,1.0
16898,50309,5431,5431,0,1.0,0.0
16899,50310,30221,30221,0,1.0,0.0
16900,50311,15113,15113,0,1.0,0.0
16901,50312,15339,15224,115,0.993,0.007
16902,50313,17376,17165,211,0.988,0.012
16903,50314,12465,12465,0,1.0,0.0
16904,50315,35853,35853,0,1.0,0.0
16905,50316,16440,16440,0,1.0,0.0
16906,50317,36207,35791,416,0.989,0.011
16907,50319,0,0,0,,
16908,50320,20027,19038,989,0.951,0.049
16909,50321,7846,7834,12,0.998,0.002
16910,50322,31530,31530,0,1.0,0.0
16911,50323,10201,9707,494,0.952,0.048
16912,50324,4903,4903,0,1.0,0.0
16913,50325,15448,15394,54,0.997,0.003
16914,50327,10467,8557,1910,0.818,0.182
16915,50401,29837,27115,2722,0.909,0.091
16916,50420,377,0,377,0.0,1.0
16917,50421,3032,0,3032,0.0,1.0
16918,50423,2976,0,2976,0.0,1.0
16919,50424,1482,0,1482,0.0,1.0
16920,50426,56,0,56,0.0,1.0
16921,50428,9384,7454,1930,0.794,0.206
16922,50430,518,0,518,0.0,1.0
